"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","916","Create POST API request using static request body","chromium","Sun Apr 13 23:41:22 BST 2025","passed","Sun Apr 13 23:41:23 BST 2025","","post_api.request_01.spec.js","",""
"","620","Create POST API request using static request body","firefox","Sun Apr 13 23:41:26 BST 2025","passed","Sun Apr 13 23:41:27 BST 2025","","post_api.request_01.spec.js","",""
"","166","Create POST API request using static request body","webkit","Sun Apr 13 23:41:31 BST 2025","passed","Sun Apr 13 23:41:31 BST 2025","","post_api.request_01.spec.js","",""
"","215","Create POST API request using dynamic request body","webkit","Sun Apr 13 23:41:32 BST 2025","passed","Sun Apr 13 23:41:32 BST 2025","","post_api.request_03.spec.js","",""
"","158","Create POST API request using dynamic JSON file","chromium","Sun Apr 13 23:41:24 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","post_api.request_04.spec.js","",""
"","267","Create GET api request in playwright","chromium","Sun Apr 13 23:41:24 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","post_api.request_05.spec.js","",""
"","1314","Create DELETE api request in playwright","chromium","Sun Apr 13 23:41:22 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","endtoened_testing_09.spec.js","",""
"","302","Create GET api request in playwright","firefox","Sun Apr 13 23:41:28 BST 2025","passed","Sun Apr 13 23:41:28 BST 2025","","post_api.request_05.spec.js","",""
"","1124","Create PATCH api request in playwright","firefox","Sun Apr 13 23:41:26 BST 2025","passed","Sun Apr 13 23:41:27 BST 2025","","patch_api_request_08.spec.js","",""
"","1128","Create PUT api request in playwright","webkit","Sun Apr 13 23:41:30 BST 2025","passed","Sun Apr 13 23:41:31 BST 2025","","get_api_request_07.spec.js","",""
"","1245","Create PATCH api request in playwright","chromium","Sun Apr 13 23:41:22 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","patch_api_request_08.spec.js","",""
"","204","Create POST API request using dynamic request body","firefox","Sun Apr 13 23:41:28 BST 2025","passed","Sun Apr 13 23:41:28 BST 2025","","post_api.request_03.spec.js","",""
"","169","Create POST API request using dynamic JSON file","webkit","Sun Apr 13 23:41:31 BST 2025","passed","Sun Apr 13 23:41:31 BST 2025","","post_api.request_04.spec.js","",""
"","313","Query parameters in playwright","chromium","Sun Apr 13 23:41:24 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","query_parameters_06.spec.js","",""
"","198","Create POST API request using static JSON file","chromium","Sun Apr 13 23:41:23 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","post_api.request_02.spec.js","",""
"","283","Query parameters in playwright","firefox","Sun Apr 13 23:41:28 BST 2025","passed","Sun Apr 13 23:41:28 BST 2025","","query_parameters_06.spec.js","",""
"","294","Create GET api request in playwright","webkit","Sun Apr 13 23:41:31 BST 2025","passed","Sun Apr 13 23:41:32 BST 2025","","post_api.request_05.spec.js","",""
"","166","Create POST API request using dynamic JSON file","firefox","Sun Apr 13 23:41:27 BST 2025","passed","Sun Apr 13 23:41:28 BST 2025","","post_api.request_04.spec.js","",""
"","1388","Create PUT api request in playwright","chromium","Sun Apr 13 23:41:22 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","get_api_request_07.spec.js","",""
"","294","Query parameters in playwright","webkit","Sun Apr 13 23:41:32 BST 2025","passed","Sun Apr 13 23:41:32 BST 2025","","query_parameters_06.spec.js","",""
"","1229","Create DELETE api request in playwright","webkit","Sun Apr 13 23:41:35 BST 2025","passed","Sun Apr 13 23:41:36 BST 2025","","endtoened_testing_09.spec.js","",""
"","329","Create POST API request using dynamic request body","chromium","Sun Apr 13 23:41:24 BST 2025","passed","Sun Apr 13 23:41:24 BST 2025","","post_api.request_03.spec.js","",""
"","1076","Create PATCH api request in playwright","webkit","Sun Apr 13 23:41:30 BST 2025","passed","Sun Apr 13 23:41:31 BST 2025","","patch_api_request_08.spec.js","",""
"","1112","Create PUT api request in playwright","firefox","Sun Apr 13 23:41:35 BST 2025","passed","Sun Apr 13 23:41:36 BST 2025","","get_api_request_07.spec.js","",""
"","1344","Create DELETE api request in playwright","firefox","Sun Apr 13 23:41:26 BST 2025","passed","Sun Apr 13 23:41:27 BST 2025","","endtoened_testing_09.spec.js","",""
"","174","Create POST API request using static JSON file","firefox","Sun Apr 13 23:41:27 BST 2025","passed","Sun Apr 13 23:41:27 BST 2025","","post_api.request_02.spec.js","",""
"","175","Create POST API request using static JSON file","webkit","Sun Apr 13 23:41:31 BST 2025","passed","Sun Apr 13 23:41:31 BST 2025","","post_api.request_02.spec.js","",""
